Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff,C,id
Logistic Lasso1.0,4:7,20,0.9175675675675674,0.04479887690338048,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2743243243243243,0.2851351351351352,0.8982582695082696,0.8203125346875346,0.8487008318102962,True,False,2504443,1990.7526214977088,0.0007948883729826189,0.009999490167335872,277993173,2779790,1.88065769514419e-05,1.0,Logistic Lasso1.04:7TrueFalse
Logistic Lasso5.0,20:20,20,0.9189189189189192,0.05056293765910732,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2851351351351351,0.2527027027027028,0.8792821067821068,0.8134965034965035,0.8325340938731032,True,False,619590,887.2868758186385,0.0014320548682493885,0.009315547087299376,68774490,640672,0.0003708097290143482,0.2,Logistic Lasso5.020:20TrueFalse
Logistic Lasso0.3,4:7,20,0.9054054054054052,0.058280699061750874,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2743243243243243,0.2851351351351352,0.9035479797979798,0.7696440365190365,0.8203235760886466,True,False,2504443,1990.7526214977088,0.0007948883729826189,0.009999490167335872,277993173,2779790,1.2417930853287536e-05,3.333333333333333,Logistic Lasso0.34:7TrueFalse
Logistic Lasso2.0,3:5,20,0.9054054054054056,0.04481925392372164,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2788288288288288,0.2716216216216216,0.8543040293040294,0.7960073260073259,0.8153719695337343,True,False,1651753,1754.893728976202,0.0010624431915523703,0.01058588134016482,183344583,1940864,4.343869815886516e-05,0.5,Logistic Lasso2.03:5TrueFalse
Logistic Lasso0.3,4:6,20,0.9040540540540544,0.07326019550502595,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.849983904983905,0.7957602364955307,0.8146633957680194,True,False,1701196,1633.5948090025265,0.0009602625499957244,0.010077933724591722,188832756,1903044,1.7399523629258474e-05,3.333333333333333,Logistic Lasso0.34:6TrueFalse
Logistic Lasso2.0,20:20,20,0.9040540540540544,0.06308075684856113,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2851351351351351,0.2527027027027028,0.8241634754134755,0.8406460206460207,0.8111777429656686,True,False,619590,887.2868758186385,0.0014320548682493885,0.009315547087299376,68774490,640672,0.0002884972320405429,0.5,Logistic Lasso2.020:20TrueFalse
Logistic Lasso0.3,8:8,20,0.9094594594594596,0.05147566744524572,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801801,0.26756756756756755,0.8828511766011766,0.7784532134532134,0.810897950255286,True,False,655057,981.9439902560632,0.001499020681033961,0.009617758729668077,72711327,699320,4.5415895105311437e-05,3.333333333333333,Logistic Lasso0.38:8TrueFalse
Logistic Lasso5.0,3:5,20,0.9027027027027028,0.0430739931094844,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2788288288288288,0.2716216216216216,0.8492082917082918,0.7843833943833943,0.808786446835646,True,False,1651753,1754.893728976202,0.0010624431915523703,0.01058588134016482,183344583,1940864,0.00013440266189920647,0.2,Logistic Lasso5.03:5TrueFalse
Logistic Lasso1.0,20:20,20,0.9013513513513514,0.05876436460853756,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2851351351351351,0.2527027027027028,0.8157026307026307,0.8328868353868355,0.8039700941211911,True,False,619590,887.2868758186385,0.0014320548682493885,0.009315547087299376,68774490,640672,0.0002800238867638277,1.0,Logistic Lasso1.020:20TrueFalse
Logistic Lasso1.0,3:5,20,0.895945945945946,0.047796592388722685,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2788288288288288,0.2716216216216216,0.8361346986346986,0.7656514319014318,0.7909801148284119,True,False,1651753,1754.893728976202,0.0010624431915523703,0.01058588134016482,183344583,1940864,2.8424346739494343e-05,1.0,Logistic Lasso1.03:5TrueFalse
Logistic Lasso0.3,8:10,20,0.8986486486486488,0.04512380501909189,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2765765765765766,0.2783783783783784,0.8993253968253969,0.7109830447330447,0.7892399434220675,True,False,1903287,1581.3117972114167,0.0008308320275457232,0.009551342464875736,211264857,2017863,2.6349152807747848e-05,3.333333333333333,Logistic Lasso0.38:10TrueFalse
Logistic Lasso0.3,3:5,20,0.8878378378378379,0.06179385602796584,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2788288288288288,0.2716216216216216,0.8290959040959042,0.7501007326007326,0.7804449024487724,True,False,1651753,1754.893728976202,0.0010624431915523703,0.01058588134016482,183344583,1940864,2.1976651472708083e-05,3.333333333333333,Logistic Lasso0.33:5TrueFalse
Logistic Lasso0.3,15:15,20,0.8702702702702704,0.06429933650470443,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225225,0.2905405405405405,0.911153846153846,0.6482796370296371,0.7259080233491998,True,False,675859,959.8083141961212,0.0014201309950686773,0.009383640697272684,75020349,703964,4.3574177454173134e-05,3.333333333333333,Logistic Lasso0.315:15TrueFalse
Logistic Lasso5.0,10:15,20,0.9047486033519552,0.027395670601463272,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2178838951310861,0.20474860335195533,0.8885965717133392,0.6178296104623459,0.7256969218960443,False,False,3868863,2087.948754160408,0.0005396801991076986,0.0021002623615320494,2065972842,4339085,0.0003725771628512047,0.2,Logistic Lasso5.010:15FalseFalse
Logistic,5:10,20,0.8567567567567567,0.054792256574900784,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.8890440115440116,0.6145161782661782,0.7191599209894067,True,False,3754678,2352.343299775779,0.0006265099962701939,0.009674115646984692,416769258,4031874,0.9931288382119584,0.0,Logistic5:10TrueFalse
Logistic Lasso5.0,10:10,20,0.8969273743016762,0.02101293999425169,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21254681647940074,0.22067039106145253,0.8856462230923094,0.6083891238931974,0.7180560942013597,False,False,616543,841.0124850440687,0.0013640775826569578,0.0021367692316019327,329233962,703497,0.0015392275964531265,0.2,Logistic Lasso5.010:10FalseFalse
Logistic,4:6,20,0.8783783783783784,0.07021827598252206,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.8868253968253968,0.6227499134852075,0.7169786435614609,True,False,1701196,1633.5948090025265,0.0009602625499957244,0.010077933724591722,188832756,1903044,1.016438611423963,0.0,Logistic4:6TrueFalse
Logistic Lasso5.0,4:6,20,0.8949720670391061,0.021462986270724644,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2150749063670412,0.21312849162011172,0.8474419371395958,0.622173919409214,0.7154281811944699,False,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,0.0002999269123126014,0.2,Logistic Lasso5.04:6FalseFalse
Logistic,5:5,20,0.8743243243243244,0.03942149228598602,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108109,0.86,0.6211584249084249,0.7130153075936492,True,False,613933,982.8651993025287,0.001600932348159374,0.009988823647643095,68146563,680704,0.9582767174919741,0.0,Logistic5:5TrueFalse
Logistic Lasso5.0,8:10,20,0.9030726256983241,0.018297688530907626,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21863295880149813,0.2025139664804469,0.8828635460843148,0.6009936578078044,0.7122533583354735,False,False,1889467,1468.9346479677026,0.0007774333438835942,0.002123610790431003,1008975378,2142671,0.0006180049717724629,0.2,Logistic Lasso5.08:10FalseFalse
Logistic Lasso5.0,1:3,20,0.8486486486486486,0.06127450837164668,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.277927927927928,0.27432432432432435,0.7648286435786436,0.6852712565212565,0.7083035813515691,True,False,798794,4782.898179974146,0.00598764910599497,0.01521195228834495,88666134,1348785,0.00015548439272202846,0.2,Logistic Lasso5.01:3TrueFalse
Logistic Lasso5.0,8:8,20,0.8991620111731844,0.028730241852731587,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21769662921348315,0.20530726256983245,0.8826897119147574,0.599132045807345,0.7079312044828876,False,False,625530,852.7971622842093,0.0013633193648333562,0.0021588883637911013,334033020,721140,0.0013074512813134466,0.2,Logistic Lasso5.08:8FalseFalse
Logistic,6:6,20,0.8608108108108107,0.052875669044632034,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2770270270270271,0.277027027027027,0.8496428571428571,0.6151132201132201,0.7066613525307496,True,False,633060,976.2443341704984,0.001542103961979115,0.009808386720527749,70269660,689232,0.9704699396581682,0.0,Logistic6:6TrueFalse
Logistic Lasso2.0,4:6,20,0.8902234636871509,0.024304886450747458,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2150749063670412,0.21312849162011172,0.8250125360986406,0.6224446602636352,0.7064036559017774,False,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,0.00022781409879316181,0.5,Logistic Lasso2.04:6FalseFalse
Logistic Lasso1.0,4:6,20,0.8913407821229052,0.022587732820719585,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2150749063670412,0.21312849162011172,0.8316033614842538,0.6163737936610374,0.7051185963754779,False,False,1795104,1489.620421449706,0.0008298240221456284,0.0022397886462580635,958585536,2147029,0.000128571937893292,1.0,Logistic Lasso1.04:6FalseFalse
Logistic Lasso2.0,10:15,20,0.8988826815642458,0.02684472352342784,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2178838951310861,0.20474860335195533,0.8887511004266608,0.5856247541775585,0.7029531295105328,False,False,3868863,2087.948754160408,0.0005396801991076986,0.0021002623615320494,2065972842,4339085,0.00029736126608773686,0.5,Logistic Lasso2.010:15FalseFalse
Logistic Lasso2.0,10:10,20,0.8918994413407824,0.02257391135219536,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21254681647940074,0.22067039106145253,0.8712414332486098,0.5932413595838704,0.7020669176202567,False,False,616543,841.0124850440687,0.0013640775826569578,0.0021367692316019327,329233962,703497,0.0015260898266625366,0.5,Logistic Lasso2.010:10FalseFalse
Logistic Lasso5.0,5:5,20,0.8944134078212289,0.025777144123037603,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2140449438202247,0.2162011173184358,0.9007126530708771,0.5815762870659732,0.7018143321743155,False,False,599962,858.6716485362724,0.0014312100575307645,0.0022383127960151584,320379708,717110,0.0007842163337011342,0.2,Logistic Lasso5.05:5FalseFalse
Logistic Lasso5.0,3:10,20,0.8877094972067038,0.016750462961525096,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21423220973782767,0.21564245810055865,0.8326032797024177,0.6107792906701215,0.6992787269718871,False,False,4803080,2448.4930059120043,0.0005097756035527211,0.002239336344696922,2564844720,5743550,0.00016399893401733892,0.2,Logistic Lasso5.03:10FalseFalse
Logistic,20:20,20,0.8662162162162164,0.07619273167032678,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2851351351351351,0.2527027027027028,0.8357936507936508,0.6376867576867578,0.6992315905628599,True,False,619590,887.2868758186385,0.0014320548682493885,0.009315547087299376,68774490,640672,1.0423138688487548,0.0,Logistic20:20TrueFalse
Logistic,8:8,20,0.8648648648648649,0.049835375444826406,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801801,0.26756756756756755,0.8581511544011544,0.6196391108891108,0.6990030817783544,True,False,655057,981.9439902560632,0.001499020681033961,0.009617758729668077,72711327,699320,0.9612542114655672,0.0,Logistic8:8TrueFalse
Logistic Lasso1.0,5:5,20,0.8927374301675979,0.023675553184823568,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2140449438202247,0.2162011173184358,0.9003274964430525,0.5715558951654962,0.6961994200578381,False,False,599962,858.6716485362724,0.0014312100575307645,0.0022383127960151584,320379708,717110,0.00026785029718548844,1.0,Logistic Lasso1.05:5FalseFalse
Logistic,3:5,20,0.8662162162162164,0.0336212305530398,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2788288288288288,0.2716216216216216,0.9010660173160172,0.5828589466089465,0.6955517293463179,True,False,1651753,1754.893728976202,0.0010624431915523703,0.01058588134016482,183344583,1940864,0.9766835598300716,0.0,Logistic3:5TrueFalse
Logistic Lasso2.0,5:5,20,0.8924581005586593,0.024913633156742814,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2140449438202247,0.2162011173184358,0.8964311803333542,0.5748965551934628,0.6955416037971502,False,False,599962,858.6716485362724,0.0014312100575307645,0.0022383127960151584,320379708,717110,0.0006436240961927588,0.5,Logistic Lasso2.05:5FalseFalse
Logistic,10:15,20,0.8958100558659219,0.02994303966981965,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2178838951310861,0.20474860335195533,0.8653945724850399,0.585840902284674,0.6952362399013633,False,False,3868863,2087.948754160408,0.0005396801991076986,0.0021002623615320494,2065972842,4339085,1.0075150502873842,0.0,Logistic10:15FalseFalse
Logistic Lasso5.0,6:6,20,0.8891061452513964,0.020241280463119914,713,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.21310861423220973,0.21899441340782128,0.8730561601067335,0.5799032772837881,0.693826688239769,False,False,614161,860.5277450495132,0.001401143584580449,0.0022253098159483575,327961974,729817,0.0010802542004458118,0.2,Logistic Lasso5.06:6FalseFalse
