Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
Naive Bayes,2:2,20,0.8089743589743591,0.03189706488365315,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.287012987012987,0.3038461538461539,0.7000947672448605,0.6538133071097378,0.6713175870962111
svm,2:2,21,0.8663003663003662,0.0457264549720977,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.7827319225916421,0.7428340412046847,0.7592422659968493
logistic,2:2,21,0.8626373626373627,0.048318336843490545,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.7945718600872149,0.7066645904822403,0.7442462682290113
logistic_lasso,2:2,21,0.8760683760683761,0.0411805175922834,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.7973041263953007,0.7686352515621547,0.7797940350743585
Naive Bayes,2:2,21,0.7936507936507937,0.0601211379932121,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29437229437229434,0.28205128205128205,0.6360947670208674,0.6741369974783779,0.6485152507930821
svm,2:2,22,0.8653846153846153,0.038799987183490224,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2927981109799292,0.28671328671328666,0.7769627265575881,0.7523432663288602,0.760122583049773
logistic,2:2,22,0.8607226107226108,0.033984902824763005,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2927981109799292,0.28671328671328666,0.7820837374336255,0.725402135820016,0.7496064676876771
logistic_lasso,2:2,22,0.8776223776223776,0.03204598388081007,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2927981109799292,0.28671328671328666,0.7983053281957345,0.7799080646352855,0.7856966630587364
Naive Bayes,2:2,22,0.8094405594405596,0.05388158654178934,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2927981109799292,0.28671328671328666,0.6821748962866695,0.6495937656484775,0.6616140017109542
svm,2:2,23,0.8745819397993312,0.03565704702724522,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2906079427818558,0.29319955406911924,0.8150440682941692,0.7436257496956935,0.7738571287164706
logistic,2:2,23,0.8768115942028984,0.04154133976340404,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2906079427818558,0.29319955406911924,0.827587015083893,0.7325526265715306,0.7739842874375753
logistic_lasso,2:2,23,0.8840579710144927,0.034747931717968125,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2906079427818558,0.29319955406911924,0.8225426754981584,0.7723767144862007,0.7908940510329153
Naive Bayes,2:2,23,0.811036789297659,0.04330640936355636,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2906079427818558,0.29319955406911924,0.6859456603922036,0.6729871014159309,0.6738703413266202
svm,2:2,24,0.8659188034188036,0.03451615380160279,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.7800044277399909,0.7052192036001553,0.7369424329583446
logistic,2:2,24,0.8717948717948718,0.032264249723379275,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.810704775530627,0.6885843742932347,0.741293649221551
logistic_lasso,2:2,24,0.8835470085470085,0.03450375055973322,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.8038456144251844,0.7653474276671627,0.7777356810784509
Naive Bayes,2:2,24,0.8055555555555557,0.03786334433049005,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2976190476190476,0.2724358974358974,0.6516632954228301,0.6436082216752278,0.6383298731760947
svm,2:2,25,0.8625641025641024,0.037948717948717944,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2917748917748918,0.28974358974358977,0.795527389632249,0.7144086397086662,0.7481425694910888
logistic,2:2,25,0.861025641025641,0.03966990688372044,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2917748917748918,0.28974358974358977,0.8138993554567656,0.683697863164165,0.7385725627243656
logistic_lasso,2:2,25,0.8789743589743589,0.037171528768041286,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2917748917748918,0.28974358974358977,0.8150816066829527,0.7644439594946606,0.7853508131199664
Naive Bayes,2:2,25,0.8025641025641026,0.046860684314095034,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2917748917748918,0.28974358974358977,0.6744198813847005,0.6423859041958522,0.6496789481900359
svm,2:2,26,0.8624260355029586,0.03365000772844737,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29104229104229107,0.29191321499013806,0.8040103608561808,0.7050062965029522,0.7477594308625304
logistic,2:2,26,0.86094674556213,0.03386249450372662,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29104229104229107,0.29191321499013806,0.8217542175746512,0.6754261259612432,0.7370693481853061
logistic_lasso,2:2,26,0.8925049309664695,0.03101417197932228,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29104229104229107,0.29191321499013806,0.8349658953819753,0.7920836471839817,0.8094524947559154
Naive Bayes,2:2,26,0.8205128205128205,0.04369403928377854,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29104229104229107,0.29191321499013806,0.7170612675396727,0.6539947340532624,0.6769343489039394
svm,2:2,27,0.8547008547008547,0.034542323797669916,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29180695847362514,0.2896486229819563,0.769909472221807,0.7141817446930392,0.7368143584854083
logistic,2:2,27,0.8608736942070274,0.032113653217304694,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.29180695847362514,0.2896486229819563,0.7935486494818541,0.7087462126497154,0.7439382939672664
